program_id,university_id,name,level,year,type,language,duration,start,deadline,requirements,quantity,description,contact_email,contact_phone,financing,accommodation,created_at,updated_at,is_active
1,1,Обмен по юриспруденции,бакалавриат,3,Исследовательский семестр,Русский,2 недели (интенсив),01.02.2027,01.11.2026,Средний балл ≥ 3.8;,8,Программа включает менторскую поддержку и консультации по исследовательским проектам.,exchange1_1@msu.ru,+7(495)939-5501,"Полная стипендия, перелет не включен",Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
2,1,Компьютерные науки: семестровый обмен,специалитет,5,Летняя школа,Английский,3 месяца,01.02.2026,14.10.2025,Средний балл ≥ 4.0; письмо-рекомендация,10,Программа направлена на академическую мобильность и развитие междисциплинарных компетенций.,exchange1_2@msu.ru,+7(812)328-5502,"Да, полное финансирование перелета и проживания",Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
3,1,Экономика и финансы: двусторонний обмен,магистратура,"1,2",Специальная программа обмена,Русский,1 семестр (4-5 месяцев),15.07.2026,30.04.2026,Средний балл ≥ 4.2;,12,Доступны проектные и командные форматы обучения с реальными кейсами.,exchange1_3@msu.ru,+7(495)772-5503,Без финансирования; возможно общежитие,Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
4,1,Лингвистика и переводы,бакалавриат,"3,4",Семестровый академический обмен,Английский,6 недель,01.09.2025,31.03.2025,Средний балл ≥ 4.0; английский не ниже B2,14,Доступны проектные и командные форматы обучения с реальными кейсами.,exchange1_4@msu.ru,+7(843)233-5504,"Грант на обучение, проживание за счет студента",Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
5,1,Физика и астрономия: исследовательский семестр,специалитет,"4,5",Двусторонний академический обмен,Русский,1 семестр (5 месяцев),01.09.2026,15.04.2026,Средний балл ≥ 4.5; портфолио проектов,16,"Курсы читаются преподавателями принимающего вуза, доступ к лабораториям и ресурсам.",exchange1_5@msu.ru,+7(343)375-5505,Частичное финансирование: стипендия на проживание,Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
6,2,Международные отношения: семестровый обмен,бакалавриат,"2,3",Летняя школа,Английский,2 недели (интенсив),01.09.2025,31.03.2025,Средний балл ≥ 3.8; язык обучения — Английский (B2)по,14,Доступны проектные и командные форматы обучения с реальными кейсами.,exchange2_1@spbu.ru,+7(495)408-5506,"Грант на обучение, проживание за счет студента",Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
7,2,Прикладная математика и информатика: обмен,специалитет,"4,5",Специальная программа обмена,Русский,3 месяца,01.09.2026,15.04.2026,Средний балл ≥ 4.0; письмо-рекомендация,16,"Курсы читаются преподавателями принимающего вуза, доступ к лабораториям и ресурсам.",exchange2_2@spbu.ru,+7(495)939-5507,Частичное финансирование: стипендия на проживание,Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
8,2,Филология Русского языка: специальная программа,магистратура,1,Семестровый академический обмен,Русский,1 семестр (4-5 месяцев),01.02.2027,01.11.2026,Средний балл ≥ 4.2;,18,Программа включает менторскую поддержку и консультации по исследовательским проектам.,exchange2_3@spbu.ru,+7(812)328-5508,"Полная стипендия, перелет не включен",Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
9,2,Право: двусторонний обмен,бакалавриат,2,Двусторонний академический обмен,Русский,6 недель,01.02.2026,14.10.2025,Средний балл ≥ 4.5; портфолио проектов,20,Программа направлена на академическую мобильность и развитие междисциплинарных компетенций.,exchange2_4@spbu.ru,+7(495)772-5509,"Да, полное финансирование перелета и проживания",Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
10,2,Биология и экология: исследовательский семестр,специалитет,4,Исследовательский семестр,Английский,1 семестр (5 месяцев),15.07.2026,30.04.2026,Средний балл ≥ 4.0; английский не ниже B2,22,Участники смогут подобрать дисциплины для перезачета в домашнем университете.,exchange2_5@spbu.ru,+7(843)233-5510,Без финансирования; возможно общежитие,Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
